"PLOT" "SUBPLT" "SPECIES" "IND" "SURV" "GERM" "ESTAB" "LIGHT" "LITTER" "CAGE" "GAP"
1 "12" "Maclura" 6 0 0 0 7943 "2" 1 0
1 "12" "C. racemosa" 1 1 1 1 7943 "2" 1 0
1 "12" "C. racemosa" 6 1 1 0 7943 "2" 1 0
1 "12" "C. racemosa" 4 1 1 0 7943 "2" 1 0
1 "12" "C. racemosa" 5 1 1 1 7943 "2" 1 0
1 "12" "C. racemosa" 3 1 1 1 7943 "2" 1 0
1 "12" "C. racemosa" 2 1 1 1 7943 "2" 1 0
1 "12" "Strychnos" 1 0 0 0 7943 "2" 1 0
1 "12" "Strychnos" 2 0 0 0 7943 "2" 1 0
1 "12" "Strychnos" 3 0 0 0 7943 "2" 1 0
1 "12" "Strychnos" 4 0 0 0 7943 "2" 1 0
1 "12" "Strychnos" 5 0 0 0 7943 "2" 1 0
1 "12" "Strychnos" 6 0 0 0 7943 "2" 1 0
1 "13" "Ardisia" 2 1 1 1 1000 "0" 1 0
1 "13" "Ardisia" 1 1 1 1 1000 "0" 1 0
1 "13" "Ardisia" 3 0 0 0 1000 "0" 1 0
1 "13" "Ardisia" 4 0 0 0 1000 "0" 1 0
1 "13" "Ardisia" 5 0 0 0 1000 "0" 1 0
1 "13" "Ardisia" 6 0 0 0 1000 "0" 1 0
1 "13" "C. biflora" 1 1 1 0 1000 "0" 1 0
1 "13" "C. biflora" 2 1 1 0 1000 "0" 1 0
1 "13" "C. biflora" 3 0 0 0 1000 "0" 1 0
1 "13" "C. biflora" 4 0 0 0 1000 "0" 1 0
1 "13" "C. biflora" 5 0 0 0 1000 "0" 1 0
1 "13" "C. biflora" 6 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 1 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 2 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 3 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 4 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 5 0 0 0 1000 "0" 1 0
1 "13" "Gouania" 6 0 0 0 1000 "0" 1 0
1 "13" "Hirtella" 1 1 1 1 1000 "0" 1 0
1 "13" "Hirtella" 3 1 1 1 1000 "0" 1 0
1 "13" "Hirtella" 6 1 0 1 1000 "0" 1 0
1 "13" "Hirtella" 4 1 0 1 1000 "0" 1 0
1 "13" "Hirtella" 2 1 0 0 1000 "0" 1 0
1 "13" "Hirtella" 5 1 0 0 1000 "0" 1 0
1 "13" "Inga" 2 1 1 0 1000 "0" 1 0
1 "13" "Inga" 1 1 1 1 1000 "0" 1 0
1 "13" "Inga" 5 1 1 1 1000 "0" 1 0
1 "13" "Inga" 3 1 1 1 1000 "0" 1 0
1 "13" "Inga" 4 1 1 1 1000 "0" 1 0
1 "13" "Inga" 6 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 1 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 2 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 3 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 4 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 5 0 0 0 1000 "0" 1 0
1 "13" "Maclura" 6 0 0 0 1000 "0" 1 0
1 "13" "C. racemosa" 3 1 1 1 1000 "0" 1 0
1 "13" "C. racemosa" 6 1 1 1 1000 "0" 1 0
1 "13" "C. racemosa" 4 1 1 1 1000 "0" 1 0
1 "13" "C. racemosa" 5 1 1 1 1000 "0" 1 0
1 "13" "C. racemosa" 1 1 1 1 1000 "0" 1 0
1 "13" "C. racemosa" 2 1 1 1 1000 "0" 1 0
1 "13" "Strychnos" 1 0 0 0 1000 "0" 1 0
1 "13" "Strychnos" 2 0 0 0 1000 "0" 1 0
1 "13" "Strychnos" 3 0 0 0 1000 "0" 1 0
1 "13" "Strychnos" 4 0 0 0 1000 "0" 1 0
1 "13" "Strychnos" 5 0 0 0 1000 "0" 1 0
1 "13" "Strychnos" 6 0 0 0 1000 "0" 1 0
1 "16" "Ardisia" 1 1 1 0 5012 "4" 1 0
1 "16" "Ardisia" 2 0 0 0 5012 "4" 1 0
1 "16" "Ardisia" 3 0 0 0 5012 "4" 1 0
1 "16" "Ardisia" 4 0 0 0 5012 "4" 1 0
1 "16" "Ardisia" 5 0 0 0 5012 "4" 1 0
1 "16" "Ardisia" 6 0 0 0 5012 "4" 1 0
1 "16" "C. biflora" 1 1 1 1 5012 "4" 1 0
1 "16" "C. biflora" 2 1 1 1 5012 "4" 1 0
1 "16" "C. biflora" 3 0 0 0 5012 "4" 1 0
1 "16" "C. biflora" 4 0 0 0 5012 "4" 1 0
1 "16" "C. biflora" 5 0 0 0 5012 "4" 1 0
1 "16" "C. biflora" 6 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 1 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 2 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 3 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 4 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 5 0 0 0 5012 "4" 1 0
1 "16" "Gouania" 6 0 0 0 5012 "4" 1 0
1 "16" "Hirtella" 1 1 1 1 5012 "4" 1 0
1 "16" "Hirtella" 3 1 1 1 5012 "4" 1 0
1 "16" "Hirtella" 2 1 0 1 5012 "4" 1 0
1 "16" "Hirtella" 4 0 0 0 5012 "4" 1 0
1 "16" "Hirtella" 5 0 0 0 5012 "4" 1 0
1 "16" "Hirtella" 6 0 0 0 5012 "4" 1 0
1 "16" "Inga" 1 0 0 0 5012 "4" 1 0
1 "16" "Inga" 2 0 0 0 5012 "4" 1 0
1 "16" "Inga" 3 0 0 0 5012 "4" 1 0
1 "16" "Inga" 4 0 0 0 5012 "4" 1 0
1 "16" "Inga" 5 0 0 0 5012 "4" 1 0
1 "16" "Inga" 6 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 1 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 2 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 3 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 4 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 5 0 0 0 5012 "4" 1 0
1 "16" "Maclura" 6 0 0 0 5012 "4" 1 0
1 "16" "C. racemosa" 1 1 1 1 5012 "4" 1 0
1 "16" "C. racemosa" 5 1 1 1 5012 "4" 1 0
1 "16" "C. racemosa" 4 1 1 1 5012 "4" 1 0
1 "16" "C. racemosa" 2 1 1 1 5012 "4" 1 0
1 "16" "C. racemosa" 3 1 0 1 5012 "4" 1 0
1 "16" "C. racemosa" 6 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 1 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 2 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 3 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 4 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 5 0 0 0 5012 "4" 1 0
1 "16" "Strychnos" 6 0 0 0 5012 "4" 1 0
2 "1" "Ardisia" 3 1 1 1 1000 "0" 0 0
2 "1" "Ardisia" 2 1 1 1 1000 "0" 0 0
2 "1" "Ardisia" 4 1 1 1 1000 "0" 0 0
2 "1" "Ardisia" 1 1 1 0 1000 "0" 0 0
2 "1" "Ardisia" 5 0 0 0 1000 "0" 0 0
2 "1" "Ardisia" 6 0 0 0 1000 "0" 0 0
2 "1" "C. biflora" 1 1 1 1 1000 "0" 0 0
2 "1" "C. biflora" 2 0 0 0 1000 "0" 0 0
2 "1" "C. biflora" 3 0 0 0 1000 "0" 0 0
2 "1" "C. biflora" 4 0 0 0 1000 "0" 0 0
2 "1" "C. biflora" 5 0 0 0 1000 "0" 0 0
2 "1" "C. biflora" 6 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 1 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 2 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 3 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 4 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 5 0 0 0 1000 "0" 0 0
2 "1" "Gouania" 6 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 1 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 2 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 3 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 4 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 5 0 0 0 1000 "0" 0 0
2 "1" "Hirtella" 6 0 0 0 1000 "0" 0 0
2 "1" "Inga" 1 0 0 0 1000 "0" 0 0
2 "1" "Inga" 2 0 0 0 1000 "0" 0 0
2 "1" "Inga" 3 0 0 0 1000 "0" 0 0
2 "1" "Inga" 4 0 0 0 1000 "0" 0 0
2 "1" "Inga" 5 0 0 0 1000 "0" 0 0
2 "1" "Inga" 6 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 1 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 2 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 3 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 4 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 5 0 0 0 1000 "0" 0 0
2 "1" "Maclura" 6 0 0 0 1000 "0" 0 0
2 "1" "C. racemosa" 1 1 1 1 1000 "0" 0 0
2 "1" "C. racemosa" 2 0 0 0 1000 "0" 0 0
2 "1" "C. racemosa" 3 0 0 0 1000 "0" 0 0
2 "1" "C. racemosa" 4 0 0 0 1000 "0" 0 0
2 "1" "C. racemosa" 5 0 0 0 1000 "0" 0 0
2 "1" "C. racemosa" 6 0 0 0 1000 "0" 0 0
2 "1" "Strychnos" 1 1 1 1 1000 "0" 0 0
2 "1" "Strychnos" 2 0 0 0 1000 "0" 0 0
2 "1" "Strychnos" 3 0 0 0 1000 "0" 0 0
2 "1" "Strychnos" 4 0 0 0 1000 "0" 0 0
2 "1" "Strychnos" 5 0 0 0 1000 "0" 0 0
2 "1" "Strychnos" 6 0 0 0 1000 "0" 0 0
2 "3" "Ardisia" 1 1 1 1 3162 "2" 0 0
2 "3" "Ardisia" 2 0 0 0 3162 "2" 0 0
2 "3" "Ardisia" 3 0 0 0 3162 "2" 0 0
2 "3" "Ardisia" 4 0 0 0 3162 "2" 0 0
